"1","2","least near yellow implodes one holes least hole charlotte yellow just couple feet seat party part holes tower daughter parties today one near mutual charlottes disappointing nationalist harder near part babys near reclaim nationalist harder gas new office yellow today nationalist"
"1","6","persuaded lie just gun party nationalist holes company hole part near cable parties lie nationalist light seats violent nationalist tower charlottes one hole party announcement mutual name"
"1","8","babys took yellow holes charlottes violent just near seats seats violent name seats political leading near mutual parties disappointing yellow yellow dominates yellow disappointing one lie yellow disappointing"
"2","8","dominates persuaded part disappointing party dominates clearer seat today disappointing seat yellow persuaded yellow near today horizon today near dominates lie yellow tradition hole disappointing charlotte yellow one cable babys nationalist reclaim seats party today reclaim disappointing yellow lie dominates near yellow yellow reclaim party lie party party yellow reclaim party reclaim"
"3","5","birth tower gun name charlotte monday tradition park charlotte took park rode couple charlottes estate daughter name rode name tradition park tower monday rode company birth charlottes announcement tower couple babys gun daughter birth office tradition company hole name took office rode tradition"
"3","10","charlotte harder charlottes rode monday charlottes gun gun charlottes name tower birth name estate charlotte charlotte daughter took gun rode announcement couple estate monday announcement birth couple office charlottes rode babys babys monday charlotte tower couple couple couple charlotte daughter rode just estate company took daughter charlotte gun announcement took announcement just park couple birth rode hole"
"4","5","charlottes rode rode name company rode park just charlotte daughter rode charlotte name charlotte took rode park tower tower tower tower daughter gun company company birth birth charlotte charlotte estate daughter"
"4","7","gun daughter park company tradition just charlotte announcement monday estate rode charlotte charlotte charlotte tradition park park office office birth monday park rode charlottes daughter office gun tradition tradition park babys took daughter tradition estate charlotte"
"4","10","charlotte company name rode rode just birth babys office daughter couple birth tradition park gun charlottes just gun tower monday took name took company charlotte estate gun gun just company company babys babys babys tower"
"5","7","daughter park company tower announcement babys birth charlottes daughter company company rode charlottes couple just just monday charlotte monday company charlotte announcement couple tradition company monday"
"5","10","birth office gun gun persuaded office estate park rode charlottes charlottes rode leading company announcement company monday couple rode tower monday"
"6","9","dominates lie dominates disappointing yellow disappointing yellow seat tradition yellow babys cable party announcement babys nationalist violent today company yellow just university one yellow persuaded yellow holes parties parties university charlotte hole black dominates tower holes near disappointing disappointing least dust yellow says"
"7","10","couple took took estate birth couple tradition couple tower office tower company charlotte birth charlottes office birth name birth monday just announcement charlottes office holes took daughter"
